month,day,time,room,speaker,speaker_department,speaker_institution,speaker_url,speaker_image,title,abstract_file
1,25,12:00 PM,EDU 156,James Durham,College of Education,Texas Tech University,,DoubleT.jpg,Ranking the Difficulty Level of Middle School Math Problems ,empty.txt
2,1,12:00 PM,EDU 156,James Durham,College of Education,Texas Tech University,,DoubleT.jpg,Ranking the Difficulty Level of Middle School Math Problems - Part II,empty.txt
2,15,12:00 PM,EDU 156,Jerry Dwyer,College of Education,Texas Tech University,,DoubleT.jpg,Proportional reasoning in grant proposal budget development - Part 2,empty.txt
2,22,12:00 PM,EDU 156,Minju Yi,College of Education,Texas Tech University,,DoubleT.jpg,Proportional reasoning in high school geometry ,empty.txt
3,1,12:00 PM,EDU 156,Minju Yi,College of Education,Texas Tech University,,DoubleT.jpg,Proportional reasoning in high school geometry ,empty.txt
3,8,12:00 PM,EDU 156,Lane Sobehrad,College of Education,Texas Tech University,,DoubleT.jpg,Buridan's Add and Logical Reasoning in the Middle Ages,empty.txt
3,22,12:00 PM,EDU 156,Sipra Eko,College of Education,Texas Tech University,,DoubleT.jpg,Technology in developmental math courses,empty.txt
3,29,12:00 PM,EDU 156,Sipra Eko,College of Education,Texas Tech University,,DoubleT.jpg,Technology in developmental math courses - Part II,empty.txt
4,5,12:00 PM,EDU 156,Jerry Dwyer,College of Education,Texas Tech University,,DoubleT.jpg,Abstract Algebra in the K-12 mathematics curriculum ,empty.txt
4,12,12:00 PM,EDU 156,James Durham,College of Education,Texas Tech University,,DoubleT.jpg,Content vs. Pedagogy in the K-12 Mathematics Classroom ,empty.txt
4,26,12:00 PM,EDU 156,James Durham,College of Education,Texas Tech University,,DoubleT.jpg,Odd and Ratios in Sports,empty.txt
5,3,12:00 PM,EDU 156,Lane Sobehrad,College of Education,Texas Tech University,,DoubleT.jpg,Numerology in the middle ages,empty.txt
